LocalAuthorityName,RatingValue
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,4
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,3
Dover,5
Dover,4
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,4
Dover,3
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,3
Dover,4
Dover,5
Dover,1
Dover,4
Dover,4
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,4
Dover,4
Dover,3
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,3
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,AwaitingInspection
Dover,4
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,4
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,4
Dover,4
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,4
Dover,5
Dover,3
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,4
Dover,5
Dover,3
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,4
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,3
Dover,5
Dover,5
Dover,3
Dover,5
Dover,5
Dover,3
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,4
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,4
Dover,4
Dover,5
Dover,5
Dover,3
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,1
Dover,1
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,2
Dover,3
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,4
Dover,4
Dover,5
Dover,5
Dover,5
Dover,3
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,2
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,3
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,2
Dover,5
Dover,4
Dover,3
Dover,4
Dover,4
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,3
Dover,4
Dover,4
Dover,4
Dover,5
Dover,4
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,4
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,4
Dover,4
Dover,5
Dover,5
Dover,5
Dover,3
Dover,5
Dover,5
Dover,5
Dover,5
Dover,2
Dover,5
Dover,3
Dover,5
Dover,4
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,3
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,2
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,3
Dover,4
Dover,5
Dover,5
Dover,2
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,1
Dover,3
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,3
Dover,5
Dover,3
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,4
Dover,4
Dover,5
Dover,3
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,4
Dover,5
Dover,5
Dover,4
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,1
Dover,1
Dover,5
Dover,3
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,3
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,3
Dover,5
Dover,4
Dover,4
Dover,4
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,2
Dover,5
Dover,5
Dover,5
Dover,5
Dover,AwaitingInspection
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,2
Dover,5
Dover,5
Dover,3
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Dover,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Dover,5
Dover,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,4
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,2
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,2
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,AwaitingInspection
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,AwaitingInspection
Dover,5
Folkestone and Hythe,2
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Dover,5
Dover,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,5
Dover,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,2
Folkestone and Hythe,3
Dover,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Dover,5
Dover,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Dover,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,4
Folkestone and Hythe,4
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,Exempt
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Dover,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,Exempt
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,Exempt
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,4
Folkestone and Hythe,Exempt
Folkestone and Hythe,4
Folkestone and Hythe,4
Folkestone and Hythe,2
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,Exempt
Folkestone and Hythe,5
Folkestone and Hythe,Exempt
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,AwaitingInspection
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Dover,5
Dover,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,1
Folkestone and Hythe,Exempt
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Dover,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,AwaitingInspection
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,Exempt
Folkestone and Hythe,5
Folkestone and Hythe,5
Dover,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,2
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,2
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,Exempt
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,3
Folkestone and Hythe,4
Folkestone and Hythe,3
Folkestone and Hythe,1
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,Exempt
Folkestone and Hythe,5
Folkestone and Hythe,1
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,AwaitingInspection
Folkestone and Hythe,AwaitingInspection
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,4
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,5
Folkestone and Hythe,4
Dover,5
Folkestone and Hythe,5
Folkestone and Hythe,5
Folkestone and Hythe,3
Folkestone and Hythe,3
